Latitude,Longitude,Salinity,Temperature,CTD_Depth,Lab_NO3,Lab_PO4,Lab_NO2,Lab_NH4,Sb_Oxygen,DOC,Iron,sample_name,Depth,Station,Depth_Threshold,More_Depth_Threshold,watertype,Flow_of_CDW,Location,Sample.Control,Iron_Level,Replicate_Number,Pos_in_polynya,Siderophore,True_Flow,Coastal_Current_Name,Coastal_Current_Number,Transect_Name,Transect_Number,Notes,is.neg
NegCtrl,NegCtrl,NegCtrl,NegCtrl,NegCtrl,NegCtrl,NegCtrl,NegCtrl,NegCtrl,NegCtrl,NA,NA,PCR.neg.r2,NegCtrl,NegCtrl,NegCtrl,NegCtrl,NA,NegCtrl,NegCtrl,Control.Sample,NA,NA,Blank,Blank,Blank,NA,NA,NA,NA,NA,TRUE
-74.1753,-113.34488,34.38,0.1,609.9,33.37,2.3,0.01,0.05,4.73,43.5,0.516,STN22.610.pre.poly.3.LG,610,STN22,Bottom_water,Bottom,CDW,Outflow,Dotson,True.Sample,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
-74.1753,-113.34488,34.38,0.1,609.94,33.37,2.3,0.01,0.05,4.73,43.5,0.516,STN22.610.fil.dura.r1,610,STN22,Bottom_water,Bottom,CDW,Outflow,Dotson,True.Sample,High,1,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
-74.1753,-113.34488,34.38,0.1,609.94,33.37,2.3,0.01,0.05,4.73,43.5,0.516,STN22.610.fil.dura.r2,610,STN22,Bottom_water,Bottom,CDW,Outflow,Dotson,True.Sample,High,2,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
-74.1753,-113.34488,34.31,-0.11,465.11,33.39,2.3,0,0.08,4.79,41.2,0.643,STN22.465.pre.poly.3.LG,465,STN22,Bottom_water,Mid-Bottom,WW-CDW,Outflow,Dotson,True.Sample,High,NA,Outflow,NA,Outflow,NA,NA,transect2,1,NA,FALSE
-74.1753,-113.34488,34.31,-0.12,465.16,33.39,2.3,0,0.08,4.79,41.2,0.643,STN22.465.fil.dura.r1,465,STN22,Bottom_water,Mid-Bottom,WW-CDW,Outflow,Dotson,True.Sample,High,1,Outflow,NA,Outflow,NA,NA,transect2,1,NA,FALSE
-74.1753,-113.34488,34.31,-0.12,465.16,33.39,2.3,0,0.08,4.79,41.2,0.643,STN22.465.fil.dura.r2,465,STN22,Bottom_water,Mid-Bottom,WW-CDW,Outflow,Dotson,True.Sample,High,2,Outflow,NA,Outflow,NA,NA,transect2,1,NA,FALSE
-74.1753,-113.34488,34.17,-0.48,325.1,33.34,2.29,0.01,0.12,4.91,42.3,0.573,STN22.325.pre.poly.3.LG,325,STN22,Intermediate,Mid,WW-CDW,Outflow,Dotson,True.Sample,High,NA,Outflow,NA,Outflow,NA,NA,transect2,1,NA,FALSE
-74.1753,-113.34488,34.17,-0.48,325.09,33.34,2.29,0.01,0.12,4.9,42.3,0.573,STN22.325.fil.dura.r1,325,STN22,Intermediate,Mid,WW-CDW,Outflow,Dotson,True.Sample,High,1,Outflow,NA,Outflow,NA,NA,transect2,1,NA,FALSE
-74.1753,-113.34488,34.17,-0.48,325.09,33.34,2.29,0.01,0.12,4.9,42.3,0.573,STN22.325.fil.dura.r2,325,STN22,Intermediate,Mid,WW-CDW,Outflow,Dotson,True.Sample,High,2,Outflow,NA,Outflow,NA,NA,transect2,1,NA,FALSE
