"","STN014.300.pre.poly.3.LG","STN014.40.pre.poly.3.LG","STN014.460.pre.poly.3.LG","STN014.580.pre.poly.3.LG","STN014.700.pre.poly.3.LG","STN014.860.pre.poly.3.LG","STN056a.150.pre.poly.3.LG","STN056a.170.pre.poly.3.LG","STN056a.310.pre.poly.3.LG","STN056b.190.pre.poly.3.LG","STN056b.30.pre.poly.3.LG","STN056b.350.pre.poly.3.LG","STN056b.390.pre.poly.3.LG","STN056b.410.pre.poly.3.LG","STN056b.90.pre.poly.3.LG","STN068.190.pre.poly.3.LG","STN068.257.pre.poly.3.LG","STN068.30.pre.poly.3.LG","STN068.90.pre.poly.3.LG","STN078.100.pre.poly.3.LG","STN078.180.pre.poly.3.LG","STN078.20.pre.poly.3.LG","STN078.300.pre.poly.3.LG","STN078.440.pre.poly.3.LG","STN089.1271.pre.poly.3.LG","STN089.2.pre.poly.3.LG","STN089.200.pre.poly.3.LG","STN089.300.pre.poly.3.LG","STN089.500.pre.poly.3.LG","STN106.100.pre.poly.3.S","STN106.170.pre.poly.2.LG","STN106.20.pre.poly.3.S","STN106.318.pre.poly.2.LG","STN132.100.pre.poly.3.S","STN132.200.pre.poly.3.S","STN132.30.pre.poly.3.S","STN132.305.pre.poly.3.S","STN132.505.pre.poly.3.S","STN146.160.pre.poly.3.S","STN146.201.pre.poly.3.S","STN146.250.pre.poly.3.S","STN146.268.pre.poly.3.S","STN146.30.pre.poly.3.S","STN153.160.pre.poly.3.S","STN153.2.pre.poly.3.S","STN153.548.pre.poly.3.S","STN20.175.pre.poly.3.LG","STN20.25.pre.poly.3.LG","STN20.499.pre.poly.3.LG","STN22.150.pre.poly.3.LG","STN22.2.pre.poly.3.LG","STN22.250.pre.poly.3.LG","STN22.325.pre.poly.3.LG","STN22.465.pre.poly.3.LG","STN22.610.pre.poly.3.LG"
"Seq125",154,4,201,160,99,193,680,180,74,210,0,27,36,12,43,13,257,0,0,0,0,0,0,225,104,36,299,364,562,0,93,0,0,9,20,11,37,66,0,19,13,7,0,79,0,351,32,0,329,1054,537,467,682,324,721
"Seq142",0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,47,7,0,0,0,0,103,0,4,0,0,11,8,0,0,0,0,0,0,0,0,0,8,7,3,0,2,31,0,38,17,0,0,0,2,0,7,7,0,10
"Seq148",8,0,0,5,0,10,0,0,0,0,0,0,0,0,0,7,22,0,0,0,0,49,0,0,0,6,27,0,0,0,0,0,0,0,5,0,0,16,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,14,0
"Seq153",0,0,0,0,0,82,0,0,0,7,0,8,6,0,5,0,18,0,0,0,0,0,0,5,3,0,15,0,6,0,2,0,0,0,8,0,20,27,0,7,19,36,0,0,0,5,0,0,0,26,13,21,0,44,0
"Seq155",32,0,125,136,69,49,116,99,201,37,3,78,96,92,54,0,181,0,4,0,0,0,0,117,89,4,277,175,223,0,16,0,17,3,67,0,24,264,0,0,10,17,0,6,0,208,0,0,70,79,15,100,211,237,252
"Seq156",6,0,2,0,7,0,20,10,0,9,0,0,8,8,5,0,8,0,0,0,0,81,0,0,15,3,13,17,7,0,0,0,0,0,0,0,0,14,0,0,0,5,0,0,0,12,0,0,0,5,0,20,8,12,0
"Seq159",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seq164",8,0,0,14,8,0,0,0,8,0,0,6,13,14,10,2,30,0,0,0,0,23,0,6,0,0,18,12,0,0,0,0,5,3,0,0,7,19,0,0,0,0,0,0,0,16,0,0,6,0,0,0,0,0,0
"Seq166",0,0,21,21,0,15,43,17,40,0,0,32,0,27,0,0,51,0,0,0,0,0,0,29,45,9,71,48,38,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,51,0,0,13,29,0,28,0,25,27
"Seq169",0,0,0,0,0,0,14,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,19,14,0,0,7,0,4,4,0,0,15,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,9,0,0
"Seq171",50,24,5,7,7,8,5,5,0,5,384,16,0,0,12,86,12,72,165,177,168,211,190,15,2,0,0,0,2,0,37,13,11,0,0,2,19,24,205,297,137,159,198,7,9,7,155,4,19,0,106,0,4,0,0
"Seq180",113,16,14,72,53,236,436,0,48,0,29,31,102,0,0,16,139,0,0,11,0,0,0,51,221,43,287,65,91,0,13,0,35,10,0,4,37,35,0,0,0,0,0,26,0,20,0,0,110,475,194,370,81,321,345
"Seq189",13,124,0,0,0,0,0,0,0,7,73,0,0,0,0,237,6,23,14,49,28,49,9,0,0,0,0,3,0,0,12,28,0,0,0,5,14,0,23,14,0,0,22,8,10,0,36,0,0,0,10,0,0,0,0
"Seq192",56,0,17,31,44,55,212,46,60,5,0,12,12,0,4,3,391,0,2,0,0,27,0,36,247,11,346,222,445,0,35,0,77,0,28,0,171,156,0,0,0,0,0,0,5,91,0,0,27,145,42,36,69,64,173
"Seq193",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,35,5,0,0,0,0,114,0,0,0,0,7,7,5,0,0,0,0,0,0,0,33,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"Seq197",0,0,2,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seq199",6,0,0,0,0,0,0,0,10,7,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,32,16,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seq205",17,0,40,62,55,74,93,46,53,23,0,31,45,37,30,0,70,0,0,0,0,0,0,44,107,0,60,38,64,0,0,0,19,0,36,0,46,78,62,123,133,229,0,9,0,95,0,0,59,47,28,51,63,73,76
"Seq210",0,0,0,0,0,0,7,4,0,2,0,0,3,0,5,0,3,0,0,0,0,18,0,0,2,0,9,11,0,0,4,0,0,0,6,0,0,28,0,0,0,4,0,0,0,4,0,0,2,0,0,3,0,4,0
"Seq228",113,0,15,24,21,29,109,62,48,49,0,20,33,25,63,4,55,0,9,4,14,7,31,35,24,6,90,57,28,0,23,0,24,5,117,8,182,220,9,16,10,24,23,23,76,120,51,0,50,27,33,17,22,15,15
"Seq234",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,18,0,0,0,0,0,0,0,0,0,0
"Seq235",117,0,48,68,21,44,207,104,110,65,0,71,123,57,85,0,131,0,0,0,0,3,0,80,29,14,439,213,110,3,89,0,134,9,287,6,350,1137,0,5,10,19,0,12,0,161,13,0,38,86,26,73,96,94,115
"Seq249",69,0,71,54,48,57,152,48,57,124,0,76,133,44,87,0,63,0,0,0,3,7,3,55,45,36,88,61,65,0,20,0,14,6,35,14,156,207,0,7,18,21,0,11,0,86,53,0,219,91,39,108,113,86,109
"Seq255",2,0,6,10,7,0,30,15,13,15,8,13,8,11,7,0,17,6,0,0,0,12,0,17,17,23,55,38,17,0,0,0,14,0,4,0,0,29,0,0,12,13,14,0,0,21,3,0,23,6,0,24,26,16,11
"Seq258",379,0,56,41,100,152,157,21,0,0,0,6,50,0,128,17,125,0,0,0,7,0,0,33,55,19,482,167,98,0,0,0,32,0,8,0,17,26,0,0,0,0,0,33,2,29,22,0,70,712,46,361,146,206,135
"Seq274",0,0,3,0,0,0,11,0,7,8,0,0,0,0,5,0,0,0,0,0,0,13,0,0,0,0,25,13,0,0,0,0,2,0,6,0,0,32,0,0,0,0,0,0,0,0,0,0,5,5,0,10,8,10,8
"Seq283",0,0,89,120,259,422,124,74,167,41,0,68,110,93,30,0,189,0,0,0,5,4,12,91,52,7,117,95,111,0,18,0,8,0,25,0,83,128,23,14,33,23,0,3,0,94,0,0,151,26,56,55,111,155,140
"Seq290",91,0,140,76,93,130,160,71,49,123,3,50,80,37,52,0,74,0,0,0,0,4,0,86,19,6,89,68,71,4,18,0,40,6,58,0,164,263,0,0,14,26,0,11,0,162,36,0,225,43,32,69,147,66,99
"Seq298",0,0,37,63,26,35,12,11,14,5,0,0,10,7,0,0,0,0,0,0,0,16,2,35,3,2,0,10,3,0,0,0,5,0,15,0,4,45,9,59,64,90,0,0,0,42,0,0,23,0,0,4,8,9,0
"Seq299",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seq305",27,2,0,37,0,58,162,0,0,0,0,0,84,0,0,0,150,0,0,0,6,0,0,0,86,20,743,36,0,0,0,0,5,24,0,13,83,18,2,0,13,0,0,15,0,24,3,0,25,207,15,40,0,10,109
"Seq307",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,5,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seq323",12,0,97,83,77,107,141,76,127,49,0,60,112,87,46,0,193,0,3,0,0,0,0,90,156,14,119,114,99,0,14,0,29,0,71,0,68,198,0,4,19,26,0,11,0,110,7,0,104,41,24,51,120,133,136
"Seq350",6,0,0,0,18,0,29,0,0,0,0,0,13,0,11,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0
"Seq355",0,0,0,6,6,0,25,0,0,0,0,10,0,5,0,0,38,0,0,0,0,0,0,0,10,0,21,14,9,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,11,6,0,8,18,0,0
"Seq356",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seq359",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,28,28,17,0,16,41,13,4,0,0,0,0,0,0,0,0
"Seq371",5,0,72,63,47,60,72,40,74,22,0,29,51,66,27,0,100,0,0,0,0,0,0,33,65,6,126,45,43,0,12,0,12,4,38,0,65,85,0,7,10,16,0,3,0,83,0,0,37,15,10,34,52,55,72
"Seq386",0,0,0,0,0,0,6,3,0,0,0,0,0,9,0,0,7,0,0,0,0,0,0,0,5,4,14,9,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,4,0,0,0,0,0,3,4,0,0
"Seq389",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0
"Seq427",0,0,0,0,44,50,78,15,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,12,76,63,150,0,12,0,0,0,23,8,8,0,0,18,0,0,0,8,30,16,0,11,0,0,62,131,108,0,8,0,55
"Seq429",28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,9,281,0,0,0
"Seq434",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seq444",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,5,7,0,0,0,0,0,0,0,0,11,0,0,2,0,0,0,0,0,0,0,0,0,0,3,6,0,3
"Seq449",0,0,16,0,0,0,14,16,12,0,0,0,0,0,0,0,70,0,0,0,0,6,0,21,28,0,57,57,107,0,11,0,10,0,0,0,22,91,0,0,0,0,0,0,0,0,0,0,11,0,13,15,63,64,0
