"","STN002.20.fil.dura.r1","STN002.20.fil.dura.r2","STN056a.150.fil.dura.r1","STN056a.150.fil.dura.r2","STN056a.170.fil.dura.r1","STN056a.170.fil.dura.r2","STN056b.190.fil.dura.r1","STN056b.190.fil.dura.r2","STN068.190.fil.dura.r1","STN068.190.fil.dura.r2","STN078.100.fil.dura.r1","STN078.100.fil.dura.r2","STN078.1040.fil.dura.r1","STN078.1040.fil.dura.r2","STN078.20.fil.dura.r1","STN078.20.fil.dura.r2","STN089.1271.fil.dura.r1","STN089.1271.fil.dura.r2","STN089.2.fil.dura.r1","STN089.2.fil.dura.r2","STN089.200.fil.dura.r1","STN106.100.fil.dura.r1","STN106.100.fil.dura.r2","STN106.170.fil.dura.r1","STN106.170.fil.dura.r2","STN106.20.fil.dura.r1","STN106.20.fil.dura.r2","STN115.125.fil.dura.r1","STN115.125.fil.dura.r2","STN115.180.fil.dura.r1","STN115.180.fil.dura.r2","STN12.3.15.fil.poly.S.r1","STN12.3.165.fil.poly.S.r1","STN132.100.fil.steri.r1","STN146.160.fil.poly.S.r1","STN153.120.fil.poly.S.r1","STN153.160.fil.poly.S.r1","STN153.2.fil.poly.S","STN153.200.fil.poly.L.r1","STN174.3.fil.poly.S.r1","STN181.2.fil.poly.S.r1","STN20.175.fil.dura.r1","STN20.175.fil.dura.r2","STN22.150.fil.dura.r1","STN22.150.fil.dura.r2","STN22.2.fil.dura.r1","STN22.2.fil.dura.r2"
"Seq54",0.00799734037641062,0.00780853378460051,0,0.000286889165152529,0.000439753737906772,0.000375738056897477,0.000337467307854552,0,0,0.000338613190864969,0.0118770869436578,0.0131404771898105,0,0,0.00893706673915998,0.00939865733466648,0,0,0,0.000122955858846674,0,0.0068540373930324,0.00386834294861107,0.003270813103695,0.00179811198241846,0.0131551196878625,0.00835575697493273,0.00503034977698783,0.00583453520388095,0.000865192234899692,0.00400892051186747,0.00011005216472608,0.00121230823487921,0.00390771371982228,0.00759013282732448,0.0219297228342804,0.0115679139738228,0.0266007332253389,0.00443271767810026,0.0244597355123105,0.00833578503481416,0.00437266102028757,0.00637134904932765,0.00353495679497251,0,0.00445576066199873,0.000537739538521705
"Seq57",0.027150324141625,0.0250453281759942,0.0200643776824034,0.0215166873864397,0.0275045974254418,0.0219538378958669,0.0299080401586096,0.0281259169216582,0.0184786508790814,0.0193009518793032,0.022021218141088,0.0257966616084977,0.0134458456973294,0.0134348653793854,0.0141701780617099,0.0131695472075418,0.00846808702310707,0.0066746455533051,0.0173208640674394,0.0190581581212345,0.0161397828984955,0.0102202214381312,0.0102377697002034,0.0199315173506414,0.0224264522251636,0.00777707476536961,0.00651465798045603,0.0204232200945706,0.0282548839648617,0.0155734602281945,0.0224340253809802,0.0238152884467237,0.0257229765473461,0.0290669664364863,0.0227191138007077,0.0416560361823031,0.0212893064682561,0.0445903316565777,0.0321899736147757,0.11780991291259,0.0225556536236148,0.0348237147922001,0.0294423392911036,0.0245264903552413,0.0137159357516694,0.0210966627261981,0.0140789988267501
"Seq58",0,0,0.00278969957081545,0.00210385387778522,0.00291836571519949,0.00289855072463768,0.00303720577069096,0.00230540302636543,0.00426085396483674,0.00413860566612739,0.000380404919903631,0.000161430923707745,0.00667655786350148,0.00685341310851237,6.79624847084409e-05,0.00011426939008713,0.00513490383316067,0.00856195912354999,0.0047418335089568,0.00405754334194024,0.00590363740239954,0.00150058806829704,0.00120052022543102,0.00240200337302601,0.00129863643174667,0.000131814826531688,0.000106217249681348,0,0,0.000270372573406154,0.000318589709552381,0,0,0.00984957978694931,0,0.000394294329119796,0.000271547276380818,0,0.0023570800351803,0,0,0.00137876698837896,0.00110660272962007,0.00257484507288121,0.00439150574505204,0.00281895062289715,0.00527962456003129
"Seq61",0.00517149031269047,0.0043031548410492,0.00895922746781116,0.0106148991106436,0.011593507635724,0.0114868491680086,0.0129924913524002,0.0136228360648866,0.00686221743810549,0.00613266112344332,0.0224016230609916,0.0225034707648597,0.000370919881305638,0.000163176502583628,0.00523311132254995,0.00485644907870304,0.000315301112562497,0,0.00125131717597471,0.00190581581212345,0.000285659874309655,0.00900352840978221,0.0115716810617934,0.0126232943220729,0.0135357874232056,0.00395444479595065,0.00605438323183685,0.0141855863711057,0.0145535597220401,0.00335261991023631,0.00241597196410556,8.80417317808641e-05,0.0119467466055369,0.00529950216797816,0.0124621775475665,0.00507943871042561,0.0260142290772824,0.00790064512461989,0.0133333333333333,0.0165842382539512,0.00210846327351182,0.028520779988182,0.0260219308540961,0.0095138343370865,0.00144378271070204,0.0117759388924252,0.00273758310520141
"Seq62",0.0148495650407255,0.0111688625649704,0,0.000382518886870039,0,0.0010198604401503,0,0,0.00053821313240043,0.00048910794236051,0.00122574918635614,0.00200174345397604,0,0,0.00346608672013049,0.00342808170261391,0,0,0.000987881981032666,0,0.000904589601980575,0.00121669302834895,0,0.000664383911688046,0,0.00300537804492249,0.0018410989944767,0.00228042523223448,0.00239281499934443,0.000811117720218461,0.00557531991716668,0.00224506416041204,0.00434226767765826,0.00326534982067341,0.00400020513872506,0.0349878232633654,0.00266116330853202,0.0485974933924461,0.00168865435356201,0.0429523707128266,0.00612925370206924,0.00110301359070317,0.00103953589752188,0.00501876582002269,0.00294772303435,0.00359188869691734,0.00273758310520141
"Seq66",0.000369392165192176,0,0.0114270386266094,0.00956297217175098,0.00523706724234429,0.00794417606011809,0.00590567788745465,0.00465272247139204,0.00632400430570506,0.00861582452311976,0.00228242951942178,0.00248603622509928,0.00751112759643917,0.00826760946423715,0.00152915590593992,0.000942722468218826,0.00549524796180352,0.00681274166820107,0.00520284510010537,0.00350424197713021,0.00585602742334793,0.00219004745102811,0.00356821289225331,0.00822813921398273,0.00699265770940512,0.000764525993883792,0.00145163574564509,0.00482913578590831,0.00570342205323194,0.0162223544043692,0.0101417724207508,4.40208658904321e-05,0.000815552812555105,0.00342594079546063,0.00302579619467665,0.000197147164559898,0.00363873350350296,0,0.00759894459102902,0,0.000294204177699323,0.0094937955485523,0.00811508668388049,0.00519333158767566,0.0055946580039704,0.00509229789942712,0.0082616347281971
"Seq71",0.0069261030973533,0.00652725734316451,0.000107296137339056,0.000286889165152529,0,0,0,0,0.000403659849300323,0,0.00194429181284078,0.00154973686759436,0,0,0.00377191790131847,0.00354235109270104,0,0,0,0,0.000333269853361265,0.00093279798840086,0.00056691232867576,0,0,0.00255720763471475,0.00346976348959071,0.00211274690633489,0.00275337616362921,0.00302817282214892,0.00244252110656826,0.0765963066493518,0.000308587550696526,0,0.00528232217036771,0.0189377246897831,0.032531363710422,0.0283059084320914,0.00390501319261214,0.0251048274379099,0.032754731783858,0.000590900137876699,0.000469467824687301,0.000349131535305927,0.000180472838837755,0.000363735564244794,0
"Seq78",0.0016807343516244,0.00282847818203795,0,0,0,0,0.000253100480890914,0.000209582093305948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000153319364235703,0,0,0,0,0,0,0.000238942282164286,0,0,0,0,0.000162356488461092,0,0,0,0,0,0,0,0,0,0.000136400836591798,0
"Seq81",0.000664905897345917,0.000531850598331923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.96474273880954e-05,0.000242114762397376,0,0,0,0.00408210599559318,0.000434475642209309,0.000653650495921789,0.00105540897097625,0.00865498333512526,0.000637442385015201,0,0,0.000392772977219167,0,0.000227334727652996,0
"Seq90",0,0,0.000160944206008584,0.000478148608587549,0.000639641800591669,0.000966183574879227,0.000632751202227284,0.000670662698579033,0.000627915321133836,0.000639602693856052,0,0,0.00111275964391691,0.000598313842806636,0,0,0.0010359893698482,0.00078254465107715,0.000724446786090622,0,0.000856979622928966,0.000324451474226386,0.000133391136159002,0,0,0,0,0,0,0.000648894176174769,0.000504433706791271,0,0,0.00107060649858145,0,0.000104372028296417,0.000108618910552327,0,0.000316622691292876,0,0,0,0.000268267328392743,0.000261848651479445,0.000421103290621428,0.000454669455305993,0.000928822839264763
