"","STN002.517.pre.poly.3.LG","STN004.555.pre.poly.3.LG","STN012.730.pre.poly.3.LG","STN014.580.pre.poly.3.LG","STN014.700.pre.poly.3.LG","STN014.860.pre.poly.3.LG","STN089.1271.pre.poly.3.LG","STN115.730.pre.poly.3.S","STN12.3.732.pre.poly.3.S","STN151.2.600.pre.poly.3.S","STN151.2.673.pre.poly.3.S","STN174.620.pre.poly.3.S","STN181.757.pre.poly.3.S","STN20.499.pre.poly.3.LG","STN22.610.pre.poly.3.LG"
"Seq134",0,0,0.00170886360570221,0.00204626840220542,0.0024975024975025,0.00192243950944647,0.000928217821782178,0.00582298136645963,0.00275608635737253,0.00227009703552034,0.000626495044993735,0,0,0.00783470845177841,0.00131341323263832
"Seq137",0.0594081602152145,0.0115134025525838,0.000809461707964204,0,0,0,0,0,0,0,0,0,0,0,0
"Seq142",0,0,0,0.000170522366850452,0,0,0,0,0.00014133776191654,0.000356093652630642,0,0,0,0,0.000205220817599737
"Seq144",0,0,0.000269820569321401,0,0.0004995004995005,0,0.000132602545968883,0.000443655723158829,0.000388678845270485,0,0.000256293427497437,0,0,0.000346668515565416,0
"Seq148",0,0,0,0.000284203944750753,0,0,0,0,0,0,0,0,0,0,0
"Seq153",0.0236511732177552,0.0637550947550055,0.0324234384134551,0,0,0.00543586344050381,0.000132602545968883,0.00116459627329193,0.000600685488145295,0.000979257544734265,0.000370201617496298,0.000255206206614945,0.00234176368259066,0,0
"Seq155",0.000448363473322373,0.000119001576770892,0.00125916265683321,0.00773034729722049,0.00689310689310689,0.00324825986078886,0.00393387553041018,0.0038265306122449,0.00321543408360129,0.00756699011840114,0.00427155712495728,0.000306247447937934,0.000334537668941523,0.00485335921791583,0.0103431292070268
"Seq156",0,0,0,0,0.000699300699300699,0,0.000442008486562942,0,0.00028267552383308,0.000578652185524793,0.000427155712495728,0.000204164965291956,0,0,0
"Seq159",0,0,0,0,0,0,0.000618811881188119,0,0,0,0,0,0,0,0
"Seq160",0.00209236287550441,0,0.000449700948869002,0.000341044733700904,0,0.000729201193238316,0,0.000998225377107365,0.00303876188120561,0.00356093652630642,0.000911265519990887,0.110759493670886,0.0218118560149873,0.000485335921791583,0.000287309144639632
"Seq161",0,0,0,0.000341044733700904,0,0,0,0.000221827861579414,0.000176672202395675,0,0,0,0,0,0
"Seq166",0,0,0.000944371992624904,0.00119365656795316,0,0.000994365263506795,0.00198903818953324,0,0,0,0.00199339332498007,0,0,0.000901338140470083,0.00110819241503858
"Seq167",0,0,0.000224850474434501,0.000170522366850452,0,0,0.000221004243281471,0.000277284826974268,0.000176672202395675,0.000534140478945963,0,0,0,0.000277334812452333,0
"Seq169",0,0,0.000179880379547601,0,0,0,0.000309405940594059,0,0.00028267552383308,0,0.000199339332498007,0,0,0,0
"Seq171",0.000298908982214916,0,0.0010343121823987,0.000397885522651054,0.000699300699300699,0.000530328140536957,8.84016973125884e-05,0.000332741792369122,0.001307374297728,0.000979257544734265,0.000113908189998861,0,0.00394754449350997,0.00131734035914858,0
"Seq180",0.00560454341652967,0.000327254336119954,0.0140306696047129,0.00409253680441085,0.0052947052947053,0.0156446801458402,0.00976838755304102,0.00404835847382431,0.00395745733366312,0.00244814386183566,0.000854311424991457,0,0,0.00762670734243916,0.0141602364143819
"Seq185",0,0,0.000494671043755902,0,0.0004995004995005,0,0.000707213578500707,0.000443655723158829,0.000176672202395675,0.000356093652630642,0,0,0,0,0.000615662452799212
"Seq187",0,0.000416505518698123,0.00818455726941584,0.00892400386517365,0.0123876123876124,0.0113357640039775,0.00442008486562942,0.0046583850931677,0.00752623582205576,0.00445117065788302,0.00276227360747238,0.00484891792568395,0.00227485614880235,0.0214241142619427,0.00935806928254802
"Seq188",0.00153190853385144,0,0.000944371992624904,0,0,0,0,0,0,0.00440665895130419,0.000854311424991457,0.0128623928133932,0.00756055131807842,0,0
"Seq189",0,0,0.000179880379547601,0,0,0,0,0,7.066888095827e-05,0,0,0,0,0,0
"Seq192",0,0,0.000134910284660701,0,0,0,0.00344766619519095,0.015916149068323,0.000812692131020105,0.00200302679604736,0.000768880282492311,0,0.000200722601364914,0,0.000369397471679527
"Seq193",0,0,0,0,0,0,0,0,7.066888095827e-05,0,0.000227816379997722,0,0,0,0.000205220817599737
"Seq195",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000205220817599737
"Seq199",0,0,0.000314790664208301,0,0,0,0,0,0,0,0,0,0.000133815067576609,0,0
"Seq205",0.00418472575100882,0.000416505518698123,0.00912892926204074,0.00352412891490934,0.0054945054945055,0.00490553529996685,0.00472949080622348,0.0102595385980479,0.00872760679834635,0.00556396332235378,0.00264836541747352,0.0572172315230706,0.041081225746019,0.00409068848367191,0.00311935642751601
"Seq207",0.0297040801076072,0.0121976616190165,0,0,0,0,0,0,0,0.00133535119736491,0,0.00193956717027358,0.00481734243275793,0,0
"Seq210",0,0,0.000224850474434501,0,0,0,0,0,0,0,0.000170862284998291,0,0,0,0
"Seq215",0.00313854431325661,0,0,0,0,0,0,0.00371561668145519,0.00399279177414226,0.00289326092762396,0,0.00260310330747244,0.00903251706142112,0,0
"Seq217",0.000821999701091018,0,0.00566623195574943,0.00733246177456943,0.0046953046953047,0.00477295326483261,0.000707213578500707,0.0210736468500444,0.0320836719550546,0.00320484287367578,0.000370201617496298,0.00816659861167824,0.0131138766225077,0.00429868959301116,0
"Seq220",0.00067254520998356,0.000624758278047184,0.0114224041012727,0.0112544762121298,0.0185814185814186,0.0162412993039443,0.014276874115983,0.0146960958296362,0.0125083919296138,0.0105047627526039,0.00797357329992027,0.00102082482645978,0.00160578081091931,0.00852804548290924,0.0104252175340667
"Seq221",0,0,0.0010343121823987,0.000454726311601205,0,0.00132582035134239,0,0.00249556344276841,0.00098936433341578,0.00160242143683789,0.00148080646998519,0,0,0.00110933924980933,0
"Seq228",0.000448363473322373,0,0.00139407294149391,0.00136417893480362,0.0020979020979021,0.00192243950944647,0.00106082036775106,0.00232919254658385,0.00197872866683156,0.004718240897356,0.00287618179747124,0.00546141282155982,0.00207413354743744,0.00346668515565416,0.000615662452799212
"Seq235",0,0,0.000674551423303503,0.00386517364861024,0.0020979020979021,0.00291680477295327,0.00128182461103253,0.000720940550133097,0.0007066888095827,0.00596456868156325,0.00338876865246611,0.000663536137198857,0,0.00263468071829716,0.00472007880479396
"Seq241",0,0,0,0,0,0,0,0,0,0.000890234131576605,0,0,0.00475043489896962,0,0
"Seq244",0.000821999701091018,0,0.00229347483923191,0,0.002997002997003,0.00198873052701359,0.00556930693069307,0.00133096716947649,0.00155471538108194,0,0.000825834377491742,0.000102082482645978,0,0.00187200998405325,0.00357084222623543
"Seq249",0,0,0.0010343121823987,0.00261467629170693,0.0033966033966034,0.00212131256214783,0.000795615275813296,0.000887311446317658,0.000954029892936645,0.00160242143683789,0.000683449139993166,0.000765618619844835,0.000334537668941523,0.0143520765444082,0.00426859300607454
"Seq253",0.00119563592885966,0,0.00971354049557045,0.00613880520661627,0.010989010989011,0.0101425256877693,0.00658592644978784,0.00737577639751553,0.0055475071552242,0.0400160242143684,0.0116755894748832,0.00592078399346672,0.00247557875016727,0.00908271510781391,0.00488425545887375
"Seq255",0,0,0,0.000568407889501506,0.000699300699300699,0,0.000618811881188119,0,0.000106003321437405,0.000445117065788302,0.000370201617496298,0,0,0.000693337031130833,0.000451485798719422
"Seq257",0,0,0,0,0,0,0.000221004243281471,0,0,0,0,0,0,0,0
"Seq258",0.00302645344492602,0,0.00638575347393983,0.00233047234695618,0.00999000999000999,0.0100762346702022,0.00243104667609618,0.0031055900621118,0.00268541747641426,0.000934745838155435,0.00381592436496184,0.000255206206614945,0.00267630135153218,0.00485335921791583,0.00554096207519291
"Seq260",0,0,0,0,0,0,0,0.000443655723158829,0.000318009964312215,0,0,0,0,0.000346668515565416,0.00032835330815958
"Seq265",0,0,0.000269820569321401,0,0,0.000662910175671197,0,0,0,0,0.000825834377491742,0,0,0,0
"Seq272",0.000784636078314153,0.00148751970963615,0.0152448621666592,0.00926504859887455,0.0201798201798202,0.0161750082863772,0.0060997171145686,0.0135869565217391,0.0110596798699693,0.016513843140746,0.00911265519990887,0.00158227848101266,0.00120433560818948,0.0133814047008251,0.00738794943359054
"Seq283",0.00033627260499178,8.92511825781692e-05,0.0622386113234699,0.00181890524640482,0.0236763236763237,0.0235333112363275,0.000751414427157001,0.000665483584738243,0.00229673863114378,0.000489628772367133,0.000398678664996013,0,0.00100361300682457,0.00485335921791583,0.000902971597438844
"Seq285",0.00160663577940517,0,0.00485677024778522,0,0.00749250749250749,0.00424262512429566,0,0.00854037267080745,0.00604218932193209,0.00244814386183566,0.00410069483995899,0.00209269089424255,0.00642312324367724,0.00214934479650558,0
"Seq290",0.000298908982214916,0.000505756701276292,0.00481180015289832,0.00306940260330813,0.0056943056943057,0.00682797480941332,0.00083981612446959,0.00482475598935226,0.00226140419066464,0.00240363215525683,0.00116755894748832,0.00112290730910576,0,0.0100533869513971,0.00168281070431785
"Seq291",0,0,0,0,0,0,0,0,0.000176672202395675,0,0,0,0,0,0
"Seq298",0.000560454341652967,0,0.00148401313126771,0.00358096970385949,0.0020979020979021,0.00232018561484919,0,0.0201308784383319,0.0183385746086711,0.00115730437104959,0,0.00290935075541037,0.0144520272982738,0.0012480066560355,0
"Seq305",0.00160663577940517,0,0.00161892341592841,0.00210310919115557,0,0.00384487901889294,0.0038012729844413,0.00133096716947649,0.00219073530970637,0.00169144484999555,0.00159471465998405,0.000459371171906901,0.000334537668941523,0.00173334257782708,0.00447381382367427
"Seq308",0,0,0.00224850474434501,0.00545671573921446,0.0052947052947053,0.00490553529996685,0.00707213578500707,0.0038265306122449,0.00208473198826897,0.0111279266447076,0.00640733568743593,0.000663536137198857,0.000133815067576609,0.00513069403036816,0.0064028895091118
"Seq314",0.000261545359438051,0.000267753547734507,0.00616090299950533,0.00562723810606491,0.0115884115884116,0.00795492210805436,0.0038012729844413,0.00720940550133097,0.00674887813151479,0.0151784919433811,0.0103941223373961,0.00158227848101266,0.00127124314197779,0.00845871177979616,0.00435068133311443
"Seq323",0.000261545359438051,0.000446255912890846,0.00831946755407654,0.00289888023645768,0.0048951048951049,0.00497182631753397,0.00278465346534653,0.00643300798580302,0.00650153704816084,0.00222558532894151,0.000711926187492881,0,0.000802890405459655,0.00526936143659433,0.00266787062879659
"Seq350",0,0,0,0,0.0017982017982018,0,0,0,0.000600685488145295,0.000667675598682453,0,0,0,0,0
"Seq355",0,0,0.000269820569321401,0.000341044733700904,0.000599400599400599,0,0.000442008486562942,0.000388198757763975,0.000247341083353945,0,0.000455632759995444,0,0,0.000762670734243916,0
"Seq356",0.0162905395307129,0.000714009460625353,0,0,0,0,0,0,0,0.00129083949078608,0,0,0.00127124314197779,0,0
"Seq359",0.000186818113884322,0,0,0,0.0001998001998002,0,8.84016973125884e-05,0.00138642413487134,0.000954029892936645,0.00120181607762842,0.000968219614990318,0.0022968558595345,0.0113742807440118,0,0
"Seq360",0,0,0,0.00130733814585346,0,0,0,0,0,0,0,0,0,0,0
"Seq369",0,0,0.000494671043755902,0.00284203944750753,0,0.00218760357971495,0.000353606789250354,0.00077639751552795,0.000954029892936645,0.00271521410130864,0.00122451304248775,0,0,0.00270401442141025,0.00311935642751601
"Seq371",0.000261545359438051,0.000178502365156338,0.00269820569321401,0.00358096970385949,0.0046953046953047,0.00397746105402718,0.00287305516265912,0.00183007985803017,0.0021200664287481,0.00324935458025461,0.0020503474199795,0,0.000267630135153218,0.00256534701518408,0.00295517977343622
"Seq380",7.47272455537289e-05,0.000178502365156338,0.00256329540855331,0.00227363155800602,0.0034965034965035,0.00271793172025191,0.00256364922206506,0.00249556344276841,0.00134270873820713,0.00649870916050921,0.00367353912746326,0.000969783585136791,0,0.00318935034320183,0.00361188638975538
"Seq386",0,0,0,0,0,0,0.000221004243281471,0,0.000247341083353945,0.000222558532894151,0,0,0,0,0
"Seq387",0,0,0,0,0,0,0.000132602545968883,0,0,0.000267070239472981,0,0,0,0.00020800110933925,0
"Seq401",0,0,0,0.000170522366850452,0,0,0,0.000277284826974268,0,0,0,0.000561453654552879,0,0.0004160022186785,0
"Seq407",0.000186818113884322,0,0.00179880379547601,0.00181890524640482,0.0027972027972028,0.00212131256214783,0.00318246110325318,0.00199645075421473,0.00176672202395675,0.00565298673551144,0.00324638341496754,0.000255206206614945,0,0.00194134368716633,0.00258578230175669
"Seq420",0,8.92511825781692e-05,0.00472185996312452,0.00289888023645768,0.00699300699300699,0.00490553529996685,0.00335926449787836,0.00266193433895297,0.00173138758347762,0.00498531113682899,0.00330333750996697,0.00239893834218048,0.000133815067576609,0.00318935034320183,0.00340666557215564
"Seq425",0,0,0,0,0,0.000530328140536957,0,0.00110913930789707,0.00166071870251935,0.0014688863171014,0,0.0060228664761127,0.00936705473036264,0,0
"Seq427",0,0,0.000764491613077304,0,0,0.00205502154458071,0.00243104667609618,0.00249556344276841,0.00222606975018551,0.000534140478945963,0.000825834377491742,0,0.000401445202729827,0,0.00225742899359711
"Seq441",0,0,0,0.00227363155800602,0,0.00291680477295327,0,0,0,0,0,0,0,0.00693337031130833,0.00229847315711706
"Seq444",0,0,0,0,0.0002997002997003,0,0,0,0.000106003321437405,0,0,0,0,0,0.000123132490559842
"Seq447",0,0,0,0,0,0,0,0,0,0.000222558532894151,0,0.000102082482645978,0,0,0
"Seq449",0,0,0,0,0,0,0.00123762376237624,0.00194099378881988,0.00021200664287481,0,0.00059801799749402,0.000714577378521846,0,0,0
"Seq452",0.00033627260499178,8.92511825781692e-05,0.00197868417502361,0.00255783550275678,0.00559440559440559,0.0047066622472655,0.000795615275813296,0.00205190771960958,0.00187272534539416,0.00632066233419389,0.00532520788244675,0.00148019599836668,0,0.00443735699923733,0.00480216713183385
"Seq476",0.0137498131818861,0.0011602653735162,0.00134910284660701,0,0,0.00139211136890951,0,0,0,0,0,0,0,0,0.000369397471679527
"Seq479",0.00033627260499178,0,0.00215856455457121,0,0.000999000999000999,0.00145840238647663,0.000884016973125884,0.00244010647737356,0.00176672202395675,0.00182497996973204,0.000740403234992596,0.00535933033891384,0.0114411882778001,0.00159467517160092,0.000246264981119685
"Seq482",0.000149454491107458,0,0.00121419256194631,0.000852611834252259,0.0021978021978022,0.00159098442161087,0.00083981612446959,0.000720940550133097,0.00084802657149924,0.00498531113682899,0.00304704408246953,0.000663536137198857,0,0.00201067739027941,0.00233951732063701
"Seq509",0.000410999850545509,0,0,0.000341044733700904,0,0,0,0.000388198757763975,0.00028267552383308,0.000445117065788302,0.000113908189998861,0.00316455696202532,0.00100361300682457,0,0
"Seq511",0.000560454341652967,0.000119001576770892,0.00215856455457121,0.00187574603535497,0.0031968031968032,0.00172356645674511,0.00481789250353607,0.00249556344276841,0.00123670541676973,0.00356093652630642,0.00145232942248548,0,0,0.00339735145254108,0.00299622393695616
"Seq516",0,0.000357004730312677,0.000539641138642803,0.00125049735690331,0.0022977022977023,0.00125952933377527,0,0.000942768411712511,0,0,0.000398678664996013,0,0,0.00318935034320183,0.00123132490559842
"Seq521",0,0,0,0,0,0,0,0,0,0,0,0,0,0.000901338140470083,0.000820883270398949
"Seq545",0.000149454491107458,0,0.00143904303638081,0.00215994998010572,0.0021978021978022,0.00192243950944647,0.00119342291371994,0.000720940550133097,0.0014133776191654,0.00689931451971869,0.00170862284998291,0.000714577378521846,0.000802890405459655,0.0029120155307495,0.00172385486783779
"Seq558",0,0,0,0,0,0,0,0,0,0,0,0.00239893834218048,0,0,0
"Seq563",0,0,0.000134910284660701,0,0,0,0,0,0,0,0,0,0,0,0
"Seq565",0,0,0,0,0,0,0.00185643564356436,0.000831854480922804,0,0,0.000341724569996583,0,0.000602167804094741,0.00173334257782708,0.00143654572319816
"Seq574",0.000373636227768644,0,0.0010343121823987,0.000341044733700904,0,0.000530328140536957,0.000442008486562942,0.000499112688553682,0.00035334440479135,0,0,0,0,0.000624003328017749,0.000738794943359054
"Seq589",0,0,0,0.000511567100551356,0,0,0,0,0,0,0,0,0,0.000832004437356999,0
"Seq591",0,0,0,0,0,0,0,0,0.00021200664287481,0,0.000113908189998861,0.00316455696202532,0,0,0
"Seq610",0.000485727096099238,0,0,0.00176206445745467,0,0.000795492210805436,0.000486209335219236,0,0.000318009964312215,0,0,0,0,0,0.00180594319487769
"Seq611",0.00033627260499178,0,0.00206862436479741,0.00119365656795316,0.002997002997003,0.00258534968511767,0.00110502121640736,0.00077639751552795,0.00098936433341578,0.000801210718418944,0.000882788472491172,0,0,0.00201067739027941,0.000902971597438844
"Seq615",0,0,0,0,0,0,0,0.000388198757763975,0.00063601992862443,0.00289326092762396,0.000882788472491172,0.000612494895875868,0.00120433560818948,0.000693337031130833,0
"Seq617",7.47272455537289e-05,0,0.000809461707964204,0.000568407889501506,0.0017982017982018,0.00145840238647663,0.000972418670438472,0.00127551020408163,0.00098936433341578,0.000534140478945963,0.000341724569996583,0,0,0.00138667406226167,0.00106714825151863
"Seq618",0,0,0,0,0,0,0,0,0.00063601992862443,0,0,0,0.00107052054061287,0,0
"Seq627",0.000747272455537289,0,0.000989342087511805,0.000738930256351958,0.0012987012987013,0.000928074245939675,0.000707213578500707,0.00166370896184561,0.00077735769054097,0.00284874922104513,0.00119603599498804,0,0,0,0.000615662452799212
"Seq628",0,0,0,0,0.0012987012987013,0.000530328140536957,0,0,0,0.000578652185524793,0,0.000255206206614945,0,0.00235734590584483,0.00114923657855853
"Seq637",0,0,0,0,0,0,0,0,0,0.000222558532894151,0,0.00234789710085749,0.000401445202729827,0,0
