"","STN002.517.fil.dura.r1","STN002.517.fil.dura.r2","STN004.555.fil.dura.r1","STN004.555.fil.dura.r2","STN012.730.fil.dura.r1","STN012.730.fil.dura.r2","STN014.580.fil.dura.r1","STN014.580.fil.dura.r2","STN014.700.fil.dura.r1","STN014.700.fil.dura.r2","STN014.860.fil.dura.r1","STN014.860.fil.dura.r2","STN078.1040.fil.dura.r1","STN078.1040.fil.dura.r2","STN089.1271.fil.dura.r1","STN089.1271.fil.dura.r2","STN115.730.fil.dura.r1","STN12.3.732.fil.poly.S.r1","STN151.2.600.fil.poly.S.r1","STN151.2.673.fil.poly.S.r1","STN174.620.fil.poly.S.r1","STN181.757.fil.poly.S.r1","STN20.499.fil.dura.r1","STN20.499.fil.dura.r2","STN22.610.fil.dura.r1","STN22.610.fil.dura.r2"
"Seq33",0,0,7.23641363340328e-05,0.000133062772362862,0.000208405696422369,0,0,0,0,0.000207178743460921,0,0,0,0,0,0,0.000125099036737417,0,0.000177038151721696,0,0.000205409106470387,0.000297375659802245,0.00029989004031855,0,0,0
"Seq34",0.0112976782752902,0.011441647597254,0.00691077501990014,0.00918133129303749,0.039562348037513,0.0399698005951059,0.0328638497652582,0.0423479477162012,0.0493571327650356,0.0520018646086911,0.0573154424309494,0.0489412816358456,0.0477559347181009,0.0469948327440848,0.0236025404261069,0.0201620327748113,0.0422417747383345,0.0385675730578368,0.0407187748959901,0.0472551850417268,0.021602191030469,0.013381904691101,0.0434840558461897,0.0437032777458309,0.0463689271255061,0.0407715330894579
"Seq37",0.00224571586511885,0.00185926773455378,0.00112164411317751,0.00159675326835435,0.00573115665161514,0.00532930674601412,0.00524074680641991,0.00622196498335986,0.00899543163942919,0.00585279950277102,0.00654770138792825,0.00698363037041175,0.00630563798219585,0.00505847158009247,0.00819782892662493,0.0055238445958387,0.00308577623952296,0.00496241910676456,0.00562096131716385,0.00380295080812705,0.00992810681273536,0.00520407404653929,0.0103628669487854,0.0103891125167721,0.00689524291497976,0.00545394080478883
"Seq38",0.0172401879491432,0.0151601830663616,0.00278601924886026,0.00588802767705665,0.0222646752344564,0.0217613358795577,0.0335189431160607,0.0298075531760961,0.0265624264117176,0.0248614492153105,0.03043297828192,0.0334096876920498,0.0636127596439169,0.0521620886592331,0.0556281248592406,0.0683115448352053,0.0283974813393937,0.0240575756696364,0.0522262547579003,0.0342265572731434,0.00825059910989387,0.00657943647312467,0.0553463729965679,0.0501820969906076,0.0271381578947368,0.0415031592949784
"Seq39",0.00925925925925926,0.0078184591914569,0.00499312540704827,0.00502311965669805,0.0254949635290031,0.0280232713061243,0.0314990719510864,0.0383929002073988,0.0271275844204776,0.0325788574092298,0.0306635311476922,0.026593664450528,0.0408011869436202,0.0428610280119663,0.0419800909868925,0.0397716810900387,0.0250198073474834,0.0255666153980092,0.0327963176064442,0.00746505158632346,0.0112975008558713,0.00724853170767973,0.0224917530238912,0.0266053287329883,0.0485197368421053,0.03831060857998
"Seq40",0.207918739635158,0.22554347826087,0.0206237788551994,0.0289744186820132,0.00774574505036471,0.00790513833992095,0.000764275575936238,0.00091641344716153,0.00244901803795978,0.00165742994768737,0.00594826393692074,0.00603385664003576,0,0,0,0,0,0,0,0,0,0,0.00083302788977375,0.000460034502587694,0.00132844129554656,0.000798137678749584
"Seq43",0.00179657269209508,0.00119183829138063,0.00115782618134453,0.00146369049599148,0,0,0,0,0,0,0.000230552865772122,0,0,0,0,0.000184128153194623,0.000667194862599558,0.00127687977016164,0.00119500752412145,0.000246487552378605,0.0062992125984252,0.00579882536614378,0.00023324780913665,0,0,0
"Seq52",0.0023493642896628,0.0020976353928299,0.002207106158188,0.00199594158544293,0.00746787078846822,0.0117688857307812,0.0119554536521454,0.011720445666329,0.0121508971883389,0.00849432848189776,0.0132798450684742,0.011788368065255,0.0148367952522255,0.0153929834103889,0.00572046304220531,0.0051095562511508,0.0135523956465535,0.00815461853216866,0.00898468619987607,0.00429592591288426,0.00705237932214995,0.00464649468441008,0.011329179300923,0.010580793559517,0.0144863360323887,0.0123711340206186
"Seq57",0.00335129906025428,0.00252669717772693,0.00502930747521528,0.00508965104287948,0.0200764154220215,0.0194963805125017,0.0135931870291517,0.0124439299667197,0.0192624687985683,0.0201999274874398,0.0248074883570803,0.0164254986312084,0.0134458456973294,0.0134348653793854,0.00846808702310707,0.0066746455533051,0.0170134689962887,0.0130589976493804,0.015446578737718,0.0228177048487623,0.0103046901745977,0.00505538621663817,0.0165272733331112,0.0176729921410772,0.0131578947368421,0.0125041569670768
"Seq58",0.0027294085129906,0.0017162471395881,0.000361820681670164,0.000565516782542164,0.00323028829454672,0.00386374739086024,0.00518615569385304,0.00520908696281291,0.00626383459708944,0.00507587921479256,0.0035966247060451,0.00541929716743952,0.00667655786350148,0.00685341310851237,0.00513490383316067,0.00856195912354999,0.00237688169801093,0.00266983951942889,0.00181464105514738,0.00341561322581781,0.000342348510783978,0.000371719574752807,0.00589783745959815,0.00525206057120951,0.00493421052631579,0.0031260392417692
"Seq61",0.00044914317302377,0.000429061784897025,0,0.00029939123781644,0.0013546370267454,0.00164320291335435,0.000327546675401245,0.00101287802054695,0.00207224603211981,0.00155384057595691,0.00179831235302255,0.00128498798815576,0.000370919881305638,0.000163176502583628,0.000315301112562497,0,0.000917392936074392,0.00127687977016164,0.00172612197928654,0.00126765026937568,0.000547757617254365,0.000446063489703368,0.001999266935457,0.00126509488211616,0.000379554655870445,0
"Seq62",0.00107103372028745,0.000715102974828375,0,0,0.000521014241055922,0.000754985122352001,0.000709684463369363,0,0,0,0,0.000502821386669646,0,0,0,0,0.000458696468037196,0.00107373980672683,0,0.00109158773196239,0.0015063334474495,0.0013381904691101,0.0005997800806371,0,0.00145495951417004,0.00172929830395743
"Seq66",0.00407683803206191,0.0024790236460717,0.000687459295173312,0.00222880143707794,0.00646057658909344,0.00506284140871342,0.0131564581286167,0.0109969613659384,0.00692318560730938,0.00880509659708914,0.010651542398672,0.0129616179674842,0.00751112759643917,0.00826760946423715,0.00549524796180352,0.00681274166820107,0.00967432550769359,0.00858991845381468,0.00982561742055413,0.0062678263319131,0.0112632660047929,0.00382871161995391,0.00789710439505515,0.00774391412689285,0.00619939271255061,0.00864649151978716
